1809260002,7L1RLL 68b1e3af5f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC c11b6d3748,DL4DTL 309ea008df,EA8BVP1 02e91e207f,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 174619389b,G0MQW2 c4b16efc5d,G0MQW3 6a1edc2691,G3VYZ1 8928a0c209,G3VYZ2 025fb0e790,G3VYZ3 c1f36a8886,G3YXM-600m 42b2ca0f50,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 73dbcf06a9,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 0ebeba9e58,LA5GOA af1a734474,N2NXZ 898a344b66,OK1FCX 806ac586ec,ON4CDJ ca4e732d84,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS eb6912e00f,SA6BSS1 e5976eb70c,SA6BSS2 a626e1c1b8,SA6BSS3 0f8fb05d61,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC a19ca38e5c,VK3EDW f4b3d214f6,VK2DDI 895372d28b,VE7IGH ae3bd544e5,WD4AH 29b1a9b2cd,WD4ELG-20 501f613abd,WD4ELG-30 79e21d4058,WD4ELG-40 f7e5493043,WD4ELG-80 521a54b2ee,WD4ELG-160 182e50dbd6,W4HBK1 307da7ba03,W4HBK2 4c8251e969,WA5DJJ-10m a5e8671525,WA5DJJ-12m a3d8318e23,WA5DJJ-15m 62bfe9b63a,WA5DJJ-17m 11507e7aa0,WA5DJJ-20m d86b685886,WA5DJJ-30m d002f8f11b,WA5DJJ-40m 464cc7692a,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 8787721cb5,WA5DJJ-160m e4030d933b,WA5DJJ-630m 008a6a7382,ZL2IK1 83e6ba051a,ZL2IK2 5522b9cdc3
1809260012,7L1RLL c696c5400f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP d41d8cd98f,DK7FC 8f4de5c6ec,DL4DTL 61cd2c18d7,EA8BVP1 0aeadff15e,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 3dd524903b,G0MQW2 b85a180a7f,G0MQW3 6a1edc2691,G3VYZ1 d278f5ec5e,G3VYZ2 77d631c491,G3VYZ3 7347832b6e,G3YXM-600m 01114694e2,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 3d5c8b147d,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 40eefe38bc,LA5GOA af1a734474,N2NXZ 898a344b66,OK1FCX 78f2615eb1,ON4CDJ ca4e732d84,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS eb6912e00f,SA6BSS1 30480a8c7c,SA6BSS2 95ba32d24b,SA6BSS3 267c71b78b,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 689b4804bd,VK3EDW 88b04ad12f,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 1ae9f80dbd,WD4ELG-20 046eee5901,WD4ELG-30 eeab623f4b,WD4ELG-40 1496b3035a,WD4ELG-80 57a285f6b1,WD4ELG-160 6c846a140a,W4HBK1 0deeb58c7e,W4HBK2 4c8251e969,WA5DJJ-10m a5e8671525,WA5DJJ-12m a3d8318e23,WA5DJJ-15m 62bfe9b63a,WA5DJJ-17m 11507e7aa0,WA5DJJ-20m d86b685886,WA5DJJ-30m d002f8f11b,WA5DJJ-40m ab0c867221,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 53f5f523f0,WA5DJJ-160m d7110e19cc,WA5DJJ-630m 9dff212c61,ZL2IK1 19cec91396,ZL2IK2 5522b9cdc3
1809260022,7L1RLL edddf06f25,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC ec55da3839,DL4DTL 60019aa332,EA8BVP1 9907e4d0fb,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 2b8995f503,G0MQW2 1ffe01117b,G0MQW3 6a1edc2691,G3VYZ1 d925b81f83,G3VYZ2 9dc8f75c54,G3VYZ3 fb7f0ede41,G3YXM-600m c4c85f0254,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 97ad51c57f,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L c88d33ca30,LA5GOA 020d5c4ca3,N2NXZ 898a344b66,OK1FCX 1537f6a97c,ON4CDJ a0f4a88ee7,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS 3ab0081b83,SA6BSS1 42f435d245,SA6BSS2 dac181fdb6,SA6BSS3 13876c26e0,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 6818fde10d,VK3EDW 4809c8a96f,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 31c42a8cc3,WD4ELG-20 c5a91466ea,WD4ELG-30 ad1af7b700,WD4ELG-40 76fb9058f1,WD4ELG-80 436967ffdf,WD4ELG-160 03599b37ac,W4HBK1 06b146c46b,W4HBK2 4c8251e969,WA5DJJ-10m a3e26ceb19,WA5DJJ-12m c276a55415,WA5DJJ-15m c005ac94c6,WA5DJJ-17m 92d63bd6d2,WA5DJJ-20m 9173c4524f,WA5DJJ-30m 2c3d00a6d8,WA5DJJ-40m ab0c867221,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 53f5f523f0,WA5DJJ-160m d7110e19cc,WA5DJJ-630m 9dff212c61,ZL2IK1 38f7a34605,ZL2IK2 5522b9cdc3
1809260212,7L1RLL 84be2541ef,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 8a98835b29,DL4DTL 456de7fe66,EA8BVP1 6276b5b309,EA8BVP2 e544394f4f,F6BAZ 3f4737b88f,G0MQW1 1ef8fe68eb,G0MQW2 211b5fbb32,G0MQW3 6a1edc2691,G3VYZ1 119d65346d,G3VYZ2 cc72e71426,G3VYZ3 b17d07f391,G3YXM-600m b5cd77f9d1,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 1c02f494a0,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 53aeb7e39b,OK1FCX 2a2e2c6122,ON4CDJ 4980e04ce2,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 1d8315aa1c,SA6BSS1 a3c6da339a,SA6BSS2 8eb285f6d0,SA6BSS3 a85cbedcab,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 6eff3031ea,VK3EDW b0b0463607,VK2DDI 895372d28b,VE7IGH a9b7fcb2b0,WD4AH cf57ddc4d7,WD4ELG-20 20a1af4ea6,WD4ELG-30 be99a9a98f,WD4ELG-40 5cde0ca8f0,WD4ELG-80 ba5d4b22d5,WD4ELG-160 c84d6550e7,W4HBK1 6b86623c58,W4HBK2 fe87995dfb,WA5DJJ-10m 967baa42b6,WA5DJJ-12m f0f34f78e7,WA5DJJ-15m c334e95629,WA5DJJ-17m b96ec932f9,WA5DJJ-20m 0da4c5401a,WA5DJJ-30m 98eb87ebac,WA5DJJ-40m 210ed63686,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 2694c8b9de,WA5DJJ-160m d84f4f46fe,WA5DJJ-630m 2c62c9920e,ZL2IK1 f39f664801,ZL2IK2 7a5d702b62
1809260222,7L1RLL 1b33e3079a,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 8a11a6f7ec,DL4DTL 833c638af4,EA8BVP1 cb0db7f908,EA8BVP2 e544394f4f,F6BAZ 3f4737b88f,G0MQW1 c50ed8c6fb,G0MQW2 b881928d12,G0MQW3 6a1edc2691,G3VYZ1 801ef33426,G3VYZ2 314b24126d,G3VYZ3 cdefaf1ffc,G3YXM-600m 086ce87eff,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 4da5f33c3e,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ d38616b228,OK1FCX a864baa2eb,ON4CDJ a255d8e343,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 433498f1ff,SA6BSS1 1eb6411848,SA6BSS2 f8400dae22,SA6BSS3 e2110df8df,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 565a4c2e1c,VK3EDW e0fc118e6c,VK2DDI 895372d28b,VE7IGH a9b7fcb2b0,WD4AH 9fb4013c87,WD4ELG-20 0c52ccfd0b,WD4ELG-30 684bb4bea9,WD4ELG-40 1d260854bc,WD4ELG-80 fd214cc5e7,WD4ELG-160 2714e3b7ba,W4HBK1 24f3762918,W4HBK2 fe87995dfb,WA5DJJ-10m fea85d5c75,WA5DJJ-12m 4cc22b0cb8,WA5DJJ-15m b845b65a9b,WA5DJJ-17m 91b703a956,WA5DJJ-20m 23f0e14509,WA5DJJ-30m 588765b563,WA5DJJ-40m 210ed63686,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 2694c8b9de,WA5DJJ-160m d84f4f46fe,WA5DJJ-630m 2c62c9920e,ZL2IK1 aed6100c37,ZL2IK2 7a5d702b62
1809260232,7L1RLL bf24979139,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC c04b360d88,DL4DTL 0ede381fa1,EA8BVP1 5f71895cc6,EA8BVP2 f81b518e16,F6BAZ 3f4737b88f,G0MQW1 28835302de,G0MQW2 2818f0ffa7,G0MQW3 6a1edc2691,G3VYZ1 a77dc2e72b,G3VYZ2 50c74d95e6,G3VYZ3 9692b0d9ca,G3YXM-600m 7151927fc1,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 67dda3ba40,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ c0a7f6eb9f,OK1FCX db46ad727c,ON4CDJ a255d8e343,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 d48b867065,SA6BSS2 f25e525451,SA6BSS3 b3c248a910,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 0c9dee660d,VK3EDW e0fc118e6c,VK2DDI 895372d28b,VE7IGH f13bc3fc23,WD4AH 43a8d18bda,WD4ELG-20 ca713b614c,WD4ELG-30 66a45d79da,WD4ELG-40 e42d61438a,WD4ELG-80 7457ed2a12,WD4ELG-160 1371943468,W4HBK1 9bdb40f6b4,W4HBK2 12873a6112,WA5DJJ-10m fea85d5c75,WA5DJJ-12m 4cc22b0cb8,WA5DJJ-15m b845b65a9b,WA5DJJ-17m 91b703a956,WA5DJJ-20m 23f0e14509,WA5DJJ-30m 588765b563,WA5DJJ-40m 5ff48f378b,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m eb566bced0,WA5DJJ-160m 55f70bbdbe,WA5DJJ-630m fb5481f604,ZL2IK1 e8778742b5,ZL2IK2 106deb6809
1809260242,7L1RLL d41d8cd98f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 7f2386b96b,DL4DTL 0afc21b65f,EA8BVP1 e510836852,EA8BVP2 f81b518e16,F6BAZ 3f4737b88f,G0MQW1 28835302de,G0MQW2 2a1845d6f2,G0MQW3 6a1edc2691,G3VYZ1 9f5965b317,G3VYZ2 29cd44f41b,G3VYZ3 01db89233f,G3YXM-600m 2f113f22a2,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L b9b4505008,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ f607aabd9b,OK1FCX a18177de17,ON4CDJ b5c64c4d82,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 abb5158a04,SA6BSS2 8bd78e17e6,SA6BSS3 1179d66fc7,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 7081081521,VK3EDW 0d6085cef6,VK2DDI d41d8cd98f,VE7IGH f13bc3fc23,WD4AH 15bd49a961,WD4ELG-20 da9e466f4e,WD4ELG-30 3ba3362f66,WD4ELG-40 4da3cc5faf,WD4ELG-80 f769a2dd36,WD4ELG-160 4acbb37230,W4HBK1 7e573ed1c0,W4HBK2 12873a6112,WA5DJJ-10m 9cb8cbaf34,WA5DJJ-12m aae415b0c5,WA5DJJ-15m f015659ae3,WA5DJJ-17m c78a5d358c,WA5DJJ-20m 2c477aadd4,WA5DJJ-30m a145124171,WA5DJJ-40m 5ff48f378b,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m eb566bced0,WA5DJJ-160m 55f70bbdbe,WA5DJJ-630m fb5481f604,ZL2IK1 f9415ce1e0,ZL2IK2 106deb6809
1809260252,7L1RLL 2beb402e0b,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 9a68331a26,DL4DTL 38cb09f343,EA8BVP1 e9b34cc3cd,EA8BVP2 f81b518e16,F6BAZ 3f4737b88f,G0MQW1 0164f45fc5,G0MQW2 2c0dca05e3,G0MQW3 6a1edc2691,G3VYZ1 84c1faa37b,G3VYZ2 3ec0a523fb,G3VYZ3 181d8042c3,G3YXM-600m db9ab9746b,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 782193685d,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ dfc9669a84,OK1FCX fce61edbf9,ON4CDJ b5c64c4d82,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 4c1054134b,SA6BSS2 79f3518b93,SA6BSS3 3d9d9f6e53,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC d41d8cd98f,VK3EDW e890b3f856,VK2DDI 895372d28b,VE7IGH f13bc3fc23,WD4AH cf0dcb2853,WD4ELG-20 6e47847ced,WD4ELG-30 372e56aa6a,WD4ELG-40 cb43a6c67c,WD4ELG-80 d04f944a49,WD4ELG-160 bc055ef103,W4HBK1 ef7014e434,W4HBK2 12873a6112,WA5DJJ-10m 9cb8cbaf34,WA5DJJ-12m aae415b0c5,WA5DJJ-15m f015659ae3,WA5DJJ-17m c78a5d358c,WA5DJJ-20m 2c477aadd4,WA5DJJ-30m a145124171,WA5DJJ-40m c4256dcdc5,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 37002c8859,WA5DJJ-160m 52f7cb3488,WA5DJJ-630m 637a5af873,ZL2IK1 13d6c5f7e2,ZL2IK2 106deb6809
1809260302,7L1RLL 876fbd9f6a,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 6cfe69b944,DL4DTL b877890d84,EA8BVP1 ca111c3565,EA8BVP2 7488bd4b2c,F6BAZ 3f4737b88f,G0MQW1 0fb5f41098,G0MQW2 d81a05e1f3,G0MQW3 6a1edc2691,G3VYZ1 1405c8d48b,G3VYZ2 47366e9fbb,G3VYZ3 78c9120f1b,G3YXM-600m fcb3ead890,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 01d86a6761,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 62a89c3389,OK1FCX d609210a10,ON4CDJ 7523bc51d5,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 489b86dc68,SA6BSS2 2ce12bc369,SA6BSS3 d30ed99654,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC dec08c3226,VK3EDW d2111ca6ed,VK2DDI 895372d28b,VE7IGH f13bc3fc23,WD4AH a8aaeeafd6,WD4ELG-20 b462d9010f,WD4ELG-30 4a7f4c6a8a,WD4ELG-40 41da25c776,WD4ELG-80 0347e197c2,WD4ELG-160 396c083a4b,W4HBK1 d207a87703,W4HBK2 55e1771cd1,WA5DJJ-10m ad47420760,WA5DJJ-12m 9a0fcc3ddf,WA5DJJ-15m 069669bd05,WA5DJJ-17m 5ff786565e,WA5DJJ-20m d34a15527e,WA5DJJ-30m 2c6632c7b6,WA5DJJ-40m c4256dcdc5,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 37002c8859,WA5DJJ-160m 52f7cb3488,WA5DJJ-630m 637a5af873,ZL2IK1 ace0e13ceb,ZL2IK2 9ff06d598b
1809260312,7L1RLL 8714698e67,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC b7f5b91e7a,DL4DTL 5268f7ebcf,EA8BVP1 9f8b6e7e5f,EA8BVP2 7488bd4b2c,F6BAZ 3f4737b88f,G0MQW1 27711eb381,G0MQW2 8f41f32754,G0MQW3 6a1edc2691,G3VYZ1 e40c207783,G3VYZ2 df227d5e03,G3VYZ3 b42c00dcea,G3YXM-600m 7de6753ea3,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 7efa96d01b,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 15928d113e,OK1FCX 91e3c9f01e,ON4CDJ 7523bc51d5,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 6649259db9,SA6BSS2 772d412b24,SA6BSS3 1d52a2deca,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 893e7e39f8,VK3EDW bc73c51f07,VK2DDI 895372d28b,VE7IGH f13bc3fc23,WD4AH c2357ae4cc,WD4ELG-20 105abb0853,WD4ELG-30 ea52ed8399,WD4ELG-40 c4e6f7a364,WD4ELG-80 68f13565f6,WD4ELG-160 cc344ebd13,W4HBK1 f7f39da7ac,W4HBK2 55e1771cd1,WA5DJJ-10m ad47420760,WA5DJJ-12m 9a0fcc3ddf,WA5DJJ-15m 069669bd05,WA5DJJ-17m 5ff786565e,WA5DJJ-20m d34a15527e,WA5DJJ-30m 2c6632c7b6,WA5DJJ-40m 1e218fc804,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m a75e2e5add,WA5DJJ-160m 9451d90351,WA5DJJ-630m 489f2f8a46,ZL2IK1 4106a3260b,ZL2IK2 9ff06d598b
1809260322,7L1RLL 3c856e2732,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC e118228e94,DL4DTL cb2af04354,EA8BVP1 296f113e79,EA8BVP2 7488bd4b2c,F6BAZ 3f4737b88f,G0MQW1 2c330b08d2,G0MQW2 adbdf47f3a,G0MQW3 6a1edc2691,G3VYZ1 89def86590,G3VYZ2 bac26e9539,G3VYZ3 6da4e25309,G3YXM-600m c405bd5093,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 9b51b03a92,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 849ea9f3e2,OK1FCX 7ea8430cd6,ON4CDJ 946529d584,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 777d46ac10,SA6BSS2 eb06aab936,SA6BSS3 8a494364f3,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 855751dad7,VK3EDW f84df5698c,VK2DDI 895372d28b,VE7IGH f13bc3fc23,WD4AH c3d7726241,WD4ELG-20 ad47cd9cd8,WD4ELG-30 bf8066ac8f,WD4ELG-40 2f70aa440f,WD4ELG-80 a53f28dc37,WD4ELG-160 26b562601d,W4HBK1 78fbc21b5a,W4HBK2 55e1771cd1,WA5DJJ-10m ff7f408581,WA5DJJ-12m 413636f755,WA5DJJ-15m 82adfa4d71,WA5DJJ-17m 4d52b5c33c,WA5DJJ-20m f2fbf7b19e,WA5DJJ-30m 2aa7c3c65e,WA5DJJ-40m 1e218fc804,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m a75e2e5add,WA5DJJ-160m 9451d90351,WA5DJJ-630m 489f2f8a46,ZL2IK1 418c92ef3d,ZL2IK2 9ff06d598b
1809260332,7L1RLL 18c8fd8ffc,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC cb4e1ff37d,DL4DTL d857eb88f2,EA8BVP1 4ad150bf16,EA8BVP2 76e3d1af47,F6BAZ 3f4737b88f,G0MQW1 0322047c28,G0MQW2 88c33172c3,G0MQW3 6a1edc2691,G3VYZ1 38e4308471,G3VYZ2 5f1db3a4fd,G3VYZ3 2d0ccba55d,G3YXM-600m 8d8800491c,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 66ab04280c,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ e8dd96e112,OK1FCX 154b087722,ON4CDJ 946529d584,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 37a6303652,SA6BSS2 cfdaf0c4d1,SA6BSS3 022d6de816,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC fe564ae673,VK3EDW 42bd266abe,VK2DDI 895372d28b,VE7IGH f13bc3fc23,WD4AH 0f54b9bec9,WD4ELG-20 062bf02268,WD4ELG-30 cfb57693eb,WD4ELG-40 fc6732326a,WD4ELG-80 a1b5d6bc54,WD4ELG-160 04795151a4,W4HBK1 f6efecffb8,W4HBK2 daad8a3744,WA5DJJ-10m ff7f408581,WA5DJJ-12m 413636f755,WA5DJJ-15m 82adfa4d71,WA5DJJ-17m 4d52b5c33c,WA5DJJ-20m f2fbf7b19e,WA5DJJ-30m 2aa7c3c65e,WA5DJJ-40m ecc144e38b,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 4d520e579e,WA5DJJ-160m 367868e02f,WA5DJJ-630m 8e4b1e35eb,ZL2IK1 e5efc86f69,ZL2IK2 6e5880ef47
1809260342,7L1RLL e6bdaeac8d,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 67088847e5,DL4DTL b8733b8675,EA8BVP1 161a6df896,EA8BVP2 76e3d1af47,F6BAZ 3f4737b88f,G0MQW1 0122e5216e,G0MQW2 26b9656bb0,G0MQW3 6a1edc2691,G3VYZ1 edc3c4efb8,G3VYZ2 f2ebadf3ff,G3VYZ3 44a09a95a8,G3YXM-600m 95680c24d9,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L ef4711c4c1,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 72e6d5f109,OK1FCX 031f8ba4da,ON4CDJ d5de1a8152,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 2f17fb9cf1,SA6BSS2 e0a6d0fde6,SA6BSS3 aefac2b289,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC d41d8cd98f,VK3EDW 3d648c5ff9,VK2DDI 895372d28b,VE7IGH 49d2dd8de0,WD4AH 6a944c5928,WD4ELG-20 a5feef61d1,WD4ELG-30 725f04d0c0,WD4ELG-40 a84970055b,WD4ELG-80 ec0b427e31,WD4ELG-160 cec1578f76,W4HBK1 aaddff0dd9,W4HBK2 daad8a3744,WA5DJJ-10m 7e6e490f66,WA5DJJ-12m eb5db2c8f7,WA5DJJ-15m bf1ef9f1f4,WA5DJJ-17m 8401536a0b,WA5DJJ-20m b42af1e18b,WA5DJJ-30m bedf4fb87a,WA5DJJ-40m ecc144e38b,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 4d520e579e,WA5DJJ-160m 367868e02f,WA5DJJ-630m 8e4b1e35eb,ZL2IK1 c436aa9ca6,ZL2IK2 6e5880ef47
1809260352,7L1RLL 13035a950d,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC aa1722639f,DL4DTL 54f0d4575d,EA8BVP1 37ac6e5768,EA8BVP2 76e3d1af47,F6BAZ 3f4737b88f,G0MQW1 8a961ce8c8,G0MQW2 d9bc0f700e,G0MQW3 6a1edc2691,G3VYZ1 7154cf0083,G3VYZ2 2b8dc783e9,G3VYZ3 e817cdd3a0,G3YXM-600m c59870070d,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L e6564211de,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 9057aea0b1,OK1FCX 7a4a246e4f,ON4CDJ d5de1a8152,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 620d4ad259,SA6BSS2 4b44c078a8,SA6BSS3 8885450577,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 29019475ff,VK3EDW d27879f44f,VK2DDI 895372d28b,VE7IGH 49d2dd8de0,WD4AH 4d8a7b1436,WD4ELG-20 493c782bd2,WD4ELG-30 99f98679f5,WD4ELG-40 7313bf8913,WD4ELG-80 104a3158c4,WD4ELG-160 9d025be2df,W4HBK1 e7742c8057,W4HBK2 daad8a3744,WA5DJJ-10m 7e6e490f66,WA5DJJ-12m eb5db2c8f7,WA5DJJ-15m bf1ef9f1f4,WA5DJJ-17m 8401536a0b,WA5DJJ-20m b42af1e18b,WA5DJJ-30m bedf4fb87a,WA5DJJ-40m e8b80bfbf2,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 268c05e14a,WA5DJJ-160m 74eaa8ab2f,WA5DJJ-630m 7c116f4cec,ZL2IK1 fa481270c7,ZL2IK2 6e5880ef47
